City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Kazachinskoye,RU,57.6953,93.2761,58.46,51,83,4.18,broken clouds
161,Nangomba,TZ,-10.9,38.5,81.68,52,96,3.78,overcast clouds
162,Nyurba,RU,63.2842,118.3319,41.49,59,97,7.31,overcast clouds
163,Toba,JP,34.4833,136.85,66.2,91,100,17.2,heavy intensity rain
164,Pemberton,CA,50.3164,-122.8027,44.29,92,100,0.58,overcast clouds
165,Marawi,PH,7.9986,124.2928,68.76,96,100,4.56,overcast clouds
166,Coihaique,CL,-45.5752,-72.0662,31.95,86,20,4.61,few clouds
167,San Patricio,US,28.017,-97.5169,81.88,69,0,3.6,clear sky
168,Grand-Lahou,CI,5.1367,-5.0242,81.82,76,76,6.87,light rain
169,Santa Marta De Tormes,ES,40.9506,-5.6272,75.22,38,0,12.66,clear sky
170,Esmeralda,CU,21.8525,-78.1169,83.44,61,27,11.61,scattered clouds
171,Gladzor,AM,39.7812,45.3504,62.96,30,2,3.89,clear sky
172,Sayat,TM,38.7839,63.8803,84.07,15,69,23.64,broken clouds
173,Zyryanka,RU,65.75,150.85,43.84,66,100,20.8,light rain
174,Nahrin,AF,36.0649,69.1334,78.87,30,21,6.31,few clouds
175,Juneau,US,58.3019,-134.4197,44.1,92,40,0,scattered clouds
176,Port Elizabeth,ZA,-33.918,25.5701,62.89,83,40,10.36,scattered clouds
177,Arlit,NE,18.7369,7.3853,106.93,10,23,0.56,few clouds
178,Hay River,CA,60.8156,-115.7999,44.58,70,40,5.75,scattered clouds
179,Naze,JP,28.3667,129.4833,68.92,92,100,14.97,light rain
180,Payo,ID,-3.7508,103.6372,74.79,93,89,2.57,overcast clouds
181,Gacko,BA,43.1672,18.5353,74.34,43,100,3.44,overcast clouds
182,Souillac,MU,-20.5167,57.5167,79.18,65,20,5.75,few clouds
183,Zhanakorgan,KZ,43.9098,67.2495,82.13,19,0,17.52,clear sky
184,Russas,BR,-4.9403,-37.9758,86.13,57,41,11.12,scattered clouds
185,Uvira,CD,-3.4067,29.1458,79,72,73,8.68,light rain
186,Cayenne,GF,4.9333,-52.3333,84.24,1,20,13.8,few clouds
187,Sura,RU,53.8879,45.7419,57.45,69,83,9.95,broken clouds
188,Victoria,HK,22.2855,114.1577,83.17,84,100,5.99,overcast clouds
189,Saint-Louis,SN,16.3333,-15,99.14,21,47,10.78,scattered clouds
190,Mar Del Plata,AR,-38.0023,-57.5575,54.09,70,40,5.75,scattered clouds
191,Marigot,MF,18.0667,-63.0833,84.74,66,20,13.8,few clouds
192,Plettenberg Bay,ZA,-34.0527,23.3716,61.92,78,72,4.72,light rain
193,Mocuba,MZ,-16.8392,36.9856,77.95,68,0,3.71,clear sky
194,Tomatlan,MX,19.9333,-105.25,75.78,71,0,2.64,clear sky
195,Prata,BR,-19.3072,-48.9242,76.48,43,11,12.21,few clouds
196,Tual,ID,-5.6667,132.75,83.23,75,100,18.39,overcast clouds
197,Shaygino,RU,57.7675,46.8618,47.16,88,100,5.97,overcast clouds
198,Abeche,TD,13.8292,20.8324,109.42,5,0,9.22,clear sky
199,Ajdabiya,LY,30.7554,20.2263,98.74,10,0,7.09,clear sky
200,Shimanovsk,RU,52,127.7,60.64,51,1,6.44,clear sky
201,Nueve De Julio,AR,-35.4444,-60.8831,49.1,48,82,8.66,broken clouds
202,Saint Anthony,US,45.0205,-93.218,49.82,88,100,11.5,overcast clouds
203,Poum,NC,-20.2333,164.0167,76.91,78,100,12.53,overcast clouds
204,Birnin Kebbi,NG,12.4539,4.1975,102.18,19,2,1.54,clear sky
205,Horsham,GB,51.064,-0.3272,67.26,70,75,13.8,broken clouds
206,Taonan,CN,45.3333,122.7833,58.66,75,99,6.62,overcast clouds
207,Comodoro Rivadavia,AR,-45.8667,-67.5,39.06,56,0,12.66,clear sky
208,Burnie,AU,-41.0667,145.9167,56.95,94,70,9.17,broken clouds
209,Jabinyanah,TN,35.035,10.9081,84,55,100,12.48,overcast clouds
210,Walvis Bay,NA,-22.9575,14.5053,70.75,46,32,8.05,scattered clouds
211,Shrewsbury,GB,52.7101,-2.7521,64.62,82,75,20.71,broken clouds
212,Namatanai,PG,-3.6667,152.4333,79.23,78,100,2.59,overcast clouds
213,Reconquista,AR,-29.15,-59.65,54.75,93,100,10.76,overcast clouds
214,Touros,BR,-5.1989,-35.4608,85.82,62,63,16.46,broken clouds
215,Homer,US,59.6425,-151.5483,51.04,92,0,8.01,clear sky
216,Tuatapere,NZ,-46.1333,167.6833,39.52,90,1,3.33,clear sky
217,Victor Harbor,AU,-35.5667,138.6167,53.67,82,59,4.63,broken clouds
218,Biak,ID,-0.9131,122.8766,77.76,85,100,3.06,overcast clouds
219,Balta,UA,47.9355,29.6198,70.09,48,88,13.13,overcast clouds
220,Cabra,ES,37.4725,-4.4421,80.01,24,7,4.88,clear sky
221,Brockville,CA,44.5834,-75.6826,68.13,60,100,14.2,overcast clouds
222,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,12.66,scattered clouds
223,Malaya Serdoba,RU,52.4661,44.9512,59.25,62,80,6.38,broken clouds
224,Alekseyevskoye,RU,55.3071,50.1135,55.17,60,74,12.37,broken clouds
225,Nome,US,64.5011,-165.4064,35.67,93,100,5.75,mist
226,Aguimes,ES,27.9054,-15.4461,72.23,57,20,21.85,few clouds
227,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,69,67,8.46,broken clouds
228,Te Anau,NZ,-45.4167,167.7167,36.9,91,17,1.34,few clouds
229,Ostrovnoy,RU,68.0531,39.5131,36.32,96,100,16.58,light rain
230,Roald,NO,62.5833,6.1333,56.08,76,40,20.71,scattered clouds
231,Islamkot,PK,24.6997,70.177,88.57,60,0,21.14,clear sky
232,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.55,49,11,8.95,few clouds
233,Indianola,US,41.3581,-93.5574,55.89,99,100,9.69,overcast clouds
234,Atikokan,CA,48.7555,-91.6216,46.85,89,100,6.51,overcast clouds
235,Coquimbo,CL,-29.9533,-71.3436,49.73,100,100,5.75,mist
236,Dalby,AU,-27.1833,151.2667,54.99,93,0,8.48,clear sky
237,Haverfordwest,GB,51.8017,-4.9691,59.05,88,97,13,overcast clouds
238,Hasaki,JP,35.7333,140.8333,68.4,84,100,17.47,moderate rain
239,Korla,CN,41.7597,86.1469,86.76,17,90,9.73,overcast clouds
240,Port Macquarie,AU,-31.4333,152.9167,55.89,91,8,4.5,clear sky
241,Ucluelet,CA,48.9329,-125.5528,47.08,92,100,3.13,overcast clouds
242,At-Bashi,KG,41.1702,75.8106,58.01,60,35,5.95,scattered clouds
243,Murgab,TM,37.4966,61.9714,85.87,25,75,16.11,broken clouds
244,Domoni,KM,-12.2569,44.5319,80.35,73,29,8.5,scattered clouds
245,Ponta Do Sol,PT,32.6667,-17.1,68.72,76,75,3.87,broken clouds
246,Saint-Lo,FR,49.1162,-1.0903,61.23,64,92,13.49,overcast clouds
247,Richards Bay,ZA,-28.783,32.0377,71.19,74,71,7.7,light rain
248,Katsuura,JP,35.1333,140.3,67.84,88,100,15.73,light rain
249,Broome,US,42.2506,-75.833,65.86,50,100,5.01,overcast clouds
250,Kruisfontein,ZA,-34.0033,24.7314,59.88,83,97,9.55,light rain
251,Novi,US,42.4806,-83.4755,70.86,90,100,1.99,overcast clouds
252,Esperanza,DO,19.5847,-70.9849,81.3,76,6,5.99,clear sky
253,Dubai,AE,25.2582,55.3047,95.29,31,0,12.66,clear sky
254,Chuy,UY,-33.6971,-53.4616,57.65,71,100,10.07,overcast clouds
255,Labuhan,ID,-6.8844,112.2051,76.87,89,100,8.14,heavy intensity rain
256,Szamotuly,PL,52.612,16.5779,69.31,60,70,19.35,broken clouds
257,Crotone,IT,39.0851,17.1178,90.19,54,0,5.75,clear sky
258,Norman Wells,CA,65.282,-126.8329,39.24,100,40,0,scattered clouds
259,Metro,ID,-5.1131,105.3067,75.72,90,100,4.56,overcast clouds
260,Gornopravdinsk,RU,60.05,69.9,77.13,44,64,8.77,broken clouds
261,Grand-Santi,GF,4.25,-54.3833,81.12,80,27,3.38,scattered clouds
262,North Platte,US,41.1239,-100.7654,53.26,78,0,6.91,clear sky
263,Southbridge,US,42.0751,-72.0334,66.45,50,100,4,overcast clouds
264,Sayyan,YE,15.1718,44.3244,76.59,10,1,15.73,clear sky
265,Eganville,CA,45.5334,-77.0994,56.52,91,100,10.96,light rain
266,Krasnoselkup,RU,65.7,82.4667,54.88,29,0,11.01,clear sky
267,Atuona,PF,-9.8,-139.0333,78.03,72,16,18.32,few clouds
268,Mugumu,TZ,-1.85,34.7,71.29,73,62,4.07,light rain
269,Biltine,TD,14.5333,20.9167,103.84,6,31,15.21,scattered clouds
270,Belyy Yar,RU,53.6039,91.3903,73.29,28,0,13.42,clear sky
271,Quirinopolis,BR,-18.4483,-50.4517,75.9,43,100,11.05,overcast clouds
272,Oranjemund,NA,-28.55,16.4333,62.92,70,7,9.71,clear sky
273,Saint-Augustin,CA,51.226,-58.6502,47.7,39,11,10.56,few clouds
274,Rundu,NA,-17.9333,19.7667,82.98,15,0,7,clear sky
275,Barranca,PE,-10.75,-77.7667,64.83,78,100,7.34,overcast clouds
276,Tabou,CI,4.423,-7.3528,82.98,68,57,7.14,broken clouds
277,Lata,PT,40.1629,-8.3327,88.18,22,9,4.68,clear sky
278,Cap Malheureux,MU,-19.9842,57.6142,76.46,69,9,1.99,clear sky
279,Bethel,US,41.3712,-73.414,63.46,74,0,6.91,clear sky
280,Dingle,PH,10.9995,122.6711,79.61,83,100,2.13,overcast clouds
281,Jalor,IN,25.35,72.6167,95.18,33,0,14.32,clear sky
282,Bandarbeyla,SO,9.4942,50.8122,83.35,73,84,25.05,broken clouds
283,Lavrentiya,RU,65.5833,-171,30.34,97,97,5.99,overcast clouds
284,Awbari,LY,26.5921,12.7805,104.56,5,0,8.5,clear sky
285,Ossora,RU,59.2353,163.0719,38.08,99,100,3.18,overcast clouds
286,Kamaishi,JP,39.2667,141.8833,60.28,97,100,7.99,moderate rain
287,Lalian,PK,31.8241,72.7997,101.82,15,0,5.97,clear sky
288,Chipinge,ZW,-20.1883,32.6236,74.62,35,0,4.43,clear sky
289,Geraldton,AU,-28.7667,114.6,59.41,88,2,5.75,clear sky
290,Sisimiut,GL,66.9395,-53.6735,33.98,95,100,17.49,overcast clouds
291,Yamada,JP,39.4667,141.95,59.11,98,100,8.34,light rain
292,Shu,KZ,43.5983,73.7614,83.26,30,2,2.13,clear sky
293,Denpasar,ID,-8.65,115.2167,78.46,89,40,9.22,moderate rain
294,Ancud,CL,-41.8697,-73.8203,41.52,80,10,4.79,clear sky
295,Pryazha,RU,61.6926,33.6216,58.24,43,82,1.21,broken clouds
296,Prince Rupert,CA,54.3161,-130.3201,47.89,89,100,3.44,overcast clouds
297,Skibbereen,IE,51.55,-9.2667,58.1,96,100,17.07,overcast clouds
298,Provost,CA,52.3501,-110.2683,50.45,71,0,8.23,clear sky
299,Gimli,CA,50.6336,-96.9907,51.82,71,100,10.36,overcast clouds
300,Houma,US,29.5958,-90.7195,75,94,75,1.01,broken clouds
301,Aquiraz,BR,-3.9014,-38.3911,85.44,73,45,13.11,scattered clouds
302,Polonne,UA,50.1242,27.5109,64.06,61,83,13.8,broken clouds
