City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Richards Bay,ZA,71.19,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
248,Katsuura,JP,67.84,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
249,Broome,US,65.86,overcast clouds,42.2506,-75.833,Chenango Valley State Park
250,Kruisfontein,ZA,59.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
251,Novi,US,70.86,overcast clouds,42.4806,-83.4755,DoubleTree by Hilton Hotel Detroit - Novi
252,Esperanza,DO,81.3,clear sky,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
254,Chuy,UY,57.65,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
255,Labuhan,ID,76.87,heavy intensity rain,-6.8844,112.2051,DoubleFAG
256,Szamotuly,PL,69.31,broken clouds,52.612,16.5779,Hotel Maraton
259,Metro,ID,75.72,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
260,Gornopravdinsk,RU,77.13,broken clouds,60.05,69.9,Hostel
261,Grand-Santi,GF,81.12,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
263,Southbridge,US,66.45,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
264,Sayyan,YE,76.59,clear sky,15.1718,44.3244,ملاطف ابوحورية
265,Eganville,CA,56.52,light rain,45.5334,-77.0994,Egan Inn
267,Atuona,PF,78.03,few clouds,-9.8,-139.0333,Villa Enata
268,Mugumu,TZ,71.29,light rain,-1.85,34.7,Lemala Mara
270,Belyy Yar,RU,73.29,clear sky,53.6039,91.3903,Pasportnyy Stol
271,Quirinopolis,BR,75.9,overcast clouds,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
275,Barranca,PE,64.83,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
276,Tabou,CI,82.98,broken clouds,4.423,-7.3528,hotêl doufoulougou
278,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
279,Bethel,US,63.46,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
280,Dingle,PH,79.61,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
282,Bandarbeyla,SO,83.35,broken clouds,9.4942,50.8122,JABIR HOTEL
286,Kamaishi,JP,60.28,moderate rain,39.2667,141.8833,Hotel Route Inn Kamaishi
288,Chipinge,ZW,74.62,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
289,Geraldton,AU,59.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
291,Yamada,JP,59.11,light rain,39.4667,141.95,Iroha-ya Inn
292,Shu,KZ,83.26,clear sky,43.5983,73.7614,Shyngyzkhan
293,Denpasar,ID,78.46,moderate rain,-8.65,115.2167,OYO 3156 Hotel Warta 2
295,Pryazha,RU,58.24,broken clouds,61.6926,33.6216,Guest house VIRTA
297,Skibbereen,IE,58.1,overcast clouds,51.55,-9.2667,The West Cork Hotel
300,Houma,US,75,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
302,Polonne,UA,64.06,broken clouds,50.1242,27.5109,Polissya
303,Ishinomaki,JP,62.82,overcast clouds,38.4167,141.3,Ishinomaki Grand Hotel
306,Hammerfest,NO,64.85,clear sky,70.6634,23.6821,Skytterhuset
307,Pingdingshan,CN,72.97,overcast clouds,33.7385,113.3012,Chengfu Hotel
308,Dickinson,US,78.75,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
312,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
313,Buala,SB,79.41,light rain,-8.145,159.5921,Maringe Lagoon Lodge
317,Pell City,US,71.74,overcast clouds,33.5862,-86.2861,Hampton Inn Pell City
318,Kasempa,ZM,78.35,clear sky,-13.4584,25.8338,Lolelunga Forest Reserve
321,Meulaboh,ID,80.74,overcast clouds,4.1363,96.1285,Kost Pria
323,Fontaine,FR,76.41,clear sky,45.1984,5.6827,Hôtel Institut
324,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
325,Muravlenko,RU,64.62,scattered clouds,63.7898,74.523,Hostel Rus Muravlenko
327,Maniwaki,CA,55.78,overcast clouds,46.3834,-75.966,Centre Chateau Logue
328,Alice Springs,AU,58.55,few clouds,-23.7,133.8833,Desert Palms Alice Springs
